,input_1,input_2,input_3,input_4,input_5,input_6,output_1
0,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,1,1,1,2,1,1
3,1,1,1,1,2,2,1
4,1,1,1,1,3,1,1
5,1,1,1,1,3,2,1
6,1,1,1,1,4,1,0
7,1,1,1,1,4,2,0
8,1,1,1,2,1,1,1
9,1,1,1,2,1,2,1
10,1,1,1,2,2,1,1
11,1,1,1,2,2,2,1
12,1,1,1,2,3,1,1
13,1,1,1,2,3,2,1
14,1,1,1,2,4,1,0
15,1,1,1,2,4,2,0
16,1,1,1,3,1,1,1
17,1,1,1,3,1,2,1
18,1,1,1,3,2,1,1
19,1,1,1,3,2,2,1
20,1,1,1,3,3,1,1
21,1,1,1,3,3,2,1
22,1,1,1,3,4,1,0
23,1,1,1,3,4,2,0
24,1,1,2,1,1,1,1
25,1,1,2,1,1,2,1
26,1,1,2,1,2,1,1
27,1,1,2,1,2,2,1
28,1,1,2,1,3,1,1
29,1,1,2,1,3,2,1
30,1,1,2,1,4,1,0
31,1,1,2,1,4,2,0
32,1,1,2,2,1,1,1
33,1,1,2,2,1,2,1
34,1,1,2,2,2,1,1
35,1,1,2,2,2,2,1
36,1,1,2,2,3,1,1
37,1,1,2,2,3,2,1
38,1,1,2,2,4,1,0
39,1,1,2,2,4,2,0
40,1,1,2,3,1,1,1
41,1,1,2,3,1,2,1
42,1,1,2,3,2,1,1
43,1,1,2,3,2,2,1
44,1,1,2,3,3,1,1
45,1,1,2,3,3,2,1
46,1,1,2,3,4,1,0
47,1,1,2,3,4,2,0
48,1,2,1,1,1,1,1
49,1,2,1,1,1,2,1
50,1,2,1,1,2,1,1
51,1,2,1,1,2,2,1
52,1,2,1,1,3,1,1
53,1,2,1,1,3,2,1
54,1,2,1,1,4,1,0
55,1,2,1,1,4,2,0
56,1,2,1,2,1,1,1
57,1,2,1,2,1,2,1
58,1,2,1,2,2,1,1
59,1,2,1,2,2,2,1
60,1,2,1,2,3,1,1
61,1,2,1,2,3,2,1
62,1,2,1,2,4,1,0
63,1,2,1,2,4,2,0
64,1,2,1,3,1,1,1
65,1,2,1,3,1,2,1
66,1,2,1,3,2,1,1
67,1,2,1,3,2,2,1
68,1,2,1,3,3,1,1
69,1,2,1,3,3,2,1
70,1,2,1,3,4,1,0
71,1,2,1,3,4,2,0
72,1,2,2,1,1,1,1
73,1,2,2,1,1,2,1
74,1,2,2,1,2,1,1
75,1,2,2,1,2,2,1
76,1,2,2,1,3,1,1
77,1,2,2,1,3,2,1
78,1,2,2,1,4,1,0
79,1,2,2,1,4,2,0
80,1,2,2,2,1,1,1
81,1,2,2,2,1,2,1
82,1,2,2,2,2,1,1
83,1,2,2,2,2,2,1
84,1,2,2,2,3,1,1
85,1,2,2,2,3,2,1
86,1,2,2,2,4,1,0
87,1,2,2,2,4,2,0
88,1,2,2,3,1,1,1
89,1,2,2,3,1,2,1
90,1,2,2,3,2,1,1
91,1,2,2,3,2,2,1
92,1,2,2,3,3,1,1
93,1,2,2,3,3,2,1
94,1,2,2,3,4,1,0
95,1,2,2,3,4,2,0
96,1,3,1,1,1,1,0
97,1,3,1,1,1,2,0
98,1,3,1,1,2,1,0
99,1,3,1,1,2,2,0
100,1,3,1,1,3,1,1
101,1,3,1,1,3,2,1
102,1,3,1,1,4,1,0
103,1,3,1,1,4,2,0
104,1,3,1,2,1,1,0
105,1,3,1,2,1,2,0
106,1,3,1,2,2,1,0
107,1,3,1,2,2,2,0
108,1,3,1,2,3,1,0
109,1,3,1,2,3,2,0
110,1,3,1,2,4,1,0
111,1,3,1,2,4,2,0
112,1,3,1,3,1,1,0
113,1,3,1,3,1,2,0
114,1,3,1,3,2,1,0
115,1,3,1,3,2,2,0
116,1,3,1,3,3,1,0
117,1,3,1,3,3,2,0
118,1,3,1,3,4,1,0
119,1,3,1,3,4,2,0
120,1,3,2,1,1,1,0
121,1,3,2,1,1,2,0
122,1,3,2,1,2,1,0
123,1,3,2,1,2,2,0
124,1,3,2,1,3,1,1
125,1,3,2,1,3,2,1
126,1,3,2,1,4,1,0
127,1,3,2,1,4,2,0
128,1,3,2,2,1,1,0
129,1,3,2,2,1,2,0
130,1,3,2,2,2,1,0
131,1,3,2,2,2,2,0
132,1,3,2,2,3,1,0
133,1,3,2,2,3,2,0
134,1,3,2,2,4,1,0
135,1,3,2,2,4,2,0
136,1,3,2,3,1,1,0
137,1,3,2,3,1,2,0
138,1,3,2,3,2,1,0
139,1,3,2,3,2,2,0
140,1,3,2,3,3,1,0
141,1,3,2,3,3,2,0
142,1,3,2,3,4,1,0
143,1,3,2,3,4,2,0
144,2,1,1,1,1,1,1
145,2,1,1,1,1,2,1
146,2,1,1,1,2,1,1
147,2,1,1,1,2,2,1
148,2,1,1,1,3,1,1
149,2,1,1,1,3,2,1
150,2,1,1,1,4,1,0
151,2,1,1,1,4,2,0
152,2,1,1,2,1,1,1
153,2,1,1,2,1,2,1
154,2,1,1,2,2,1,1
155,2,1,1,2,2,2,1
156,2,1,1,2,3,1,1
157,2,1,1,2,3,2,1
158,2,1,1,2,4,1,0
159,2,1,1,2,4,2,0
160,2,1,1,3,1,1,1
161,2,1,1,3,1,2,1
162,2,1,1,3,2,1,1
163,2,1,1,3,2,2,1
164,2,1,1,3,3,1,1
165,2,1,1,3,3,2,1
166,2,1,1,3,4,1,0
167,2,1,1,3,4,2,0
168,2,1,2,1,1,1,1
169,2,1,2,1,1,2,1
170,2,1,2,1,2,1,1
171,2,1,2,1,2,2,1
172,2,1,2,1,3,1,1
173,2,1,2,1,3,2,1
174,2,1,2,1,4,1,0
175,2,1,2,1,4,2,0
176,2,1,2,2,1,1,1
177,2,1,2,2,1,2,1
178,2,1,2,2,2,1,1
179,2,1,2,2,2,2,1
180,2,1,2,2,3,1,1
181,2,1,2,2,3,2,1
182,2,1,2,2,4,1,0
183,2,1,2,2,4,2,0
184,2,1,2,3,1,1,1
185,2,1,2,3,1,2,1
186,2,1,2,3,2,1,1
187,2,1,2,3,2,2,1
188,2,1,2,3,3,1,1
189,2,1,2,3,3,2,1
190,2,1,2,3,4,1,0
191,2,1,2,3,4,2,0
192,2,2,1,1,1,1,1
193,2,2,1,1,1,2,1
194,2,2,1,1,2,1,1
195,2,2,1,1,2,2,1
196,2,2,1,1,3,1,1
197,2,2,1,1,3,2,1
198,2,2,1,1,4,1,0
199,2,2,1,1,4,2,0
200,2,2,1,2,1,1,1
201,2,2,1,2,1,2,1
202,2,2,1,2,2,1,1
203,2,2,1,2,2,2,1
204,2,2,1,2,3,1,1
205,2,2,1,2,3,2,1
206,2,2,1,2,4,1,0
207,2,2,1,2,4,2,0
208,2,2,1,3,1,1,1
209,2,2,1,3,1,2,1
210,2,2,1,3,2,1,1
211,2,2,1,3,2,2,1
212,2,2,1,3,3,1,1
213,2,2,1,3,3,2,1
214,2,2,1,3,4,1,0
215,2,2,1,3,4,2,0
216,2,2,2,1,1,1,1
217,2,2,2,1,1,2,1
218,2,2,2,1,2,1,1
219,2,2,2,1,2,2,1
220,2,2,2,1,3,1,1
221,2,2,2,1,3,2,1
222,2,2,2,1,4,1,0
223,2,2,2,1,4,2,0
224,2,2,2,2,1,1,1
225,2,2,2,2,1,2,1
226,2,2,2,2,2,1,1
227,2,2,2,2,2,2,1
228,2,2,2,2,3,1,1
229,2,2,2,2,3,2,1
230,2,2,2,2,4,1,0
231,2,2,2,2,4,2,0
232,2,2,2,3,1,1,1
233,2,2,2,3,1,2,1
234,2,2,2,3,2,1,1
235,2,2,2,3,2,2,1
236,2,2,2,3,3,1,1
237,2,2,2,3,3,2,1
238,2,2,2,3,4,1,0
239,2,2,2,3,4,2,0
240,2,3,1,1,1,1,0
241,2,3,1,1,1,2,0
242,2,3,1,1,2,1,0
243,2,3,1,1,2,2,0
244,2,3,1,1,3,1,1
245,2,3,1,1,3,2,1
246,2,3,1,1,4,1,0
247,2,3,1,1,4,2,0
248,2,3,1,2,1,1,0
249,2,3,1,2,1,2,0
250,2,3,1,2,2,1,0
251,2,3,1,2,2,2,0
252,2,3,1,2,3,1,0
253,2,3,1,2,3,2,0
254,2,3,1,2,4,1,0
255,2,3,1,2,4,2,0
256,2,3,1,3,1,1,0
257,2,3,1,3,1,2,0
258,2,3,1,3,2,1,0
259,2,3,1,3,2,2,0
260,2,3,1,3,3,1,0
261,2,3,1,3,3,2,0
262,2,3,1,3,4,1,0
263,2,3,1,3,4,2,0
264,2,3,2,1,1,1,0
265,2,3,2,1,1,2,0
266,2,3,2,1,2,1,0
267,2,3,2,1,2,2,0
268,2,3,2,1,3,1,1
269,2,3,2,1,3,2,1
270,2,3,2,1,4,1,0
271,2,3,2,1,4,2,0
272,2,3,2,2,1,1,0
273,2,3,2,2,1,2,0
274,2,3,2,2,2,1,0
275,2,3,2,2,2,2,0
276,2,3,2,2,3,1,0
277,2,3,2,2,3,2,0
278,2,3,2,2,4,1,0
279,2,3,2,2,4,2,0
280,2,3,2,3,1,1,0
281,2,3,2,3,1,2,0
282,2,3,2,3,2,1,0
283,2,3,2,3,2,2,0
284,2,3,2,3,3,1,0
285,2,3,2,3,3,2,0
286,2,3,2,3,4,1,0
287,2,3,2,3,4,2,0
288,3,1,1,1,1,1,1
289,3,1,1,1,1,2,1
290,3,1,1,1,2,1,1
291,3,1,1,1,2,2,1
292,3,1,1,1,3,1,1
293,3,1,1,1,3,2,1
294,3,1,1,1,4,1,0
295,3,1,1,1,4,2,0
296,3,1,1,2,1,1,1
297,3,1,1,2,1,2,1
298,3,1,1,2,2,1,1
299,3,1,1,2,2,2,1
300,3,1,1,2,3,1,1
301,3,1,1,2,3,2,1
302,3,1,1,2,4,1,0
303,3,1,1,2,4,2,0
304,3,1,1,3,1,1,1
305,3,1,1,3,1,2,1
306,3,1,1,3,2,1,1
307,3,1,1,3,2,2,1
308,3,1,1,3,3,1,1
309,3,1,1,3,3,2,1
310,3,1,1,3,4,1,0
311,3,1,1,3,4,2,0
312,3,1,2,1,1,1,1
313,3,1,2,1,1,2,1
314,3,1,2,1,2,1,1
315,3,1,2,1,2,2,1
316,3,1,2,1,3,1,1
317,3,1,2,1,3,2,1
318,3,1,2,1,4,1,0
319,3,1,2,1,4,2,0
320,3,1,2,2,1,1,1
321,3,1,2,2,1,2,1
322,3,1,2,2,2,1,1
323,3,1,2,2,2,2,1
324,3,1,2,2,3,1,1
325,3,1,2,2,3,2,1
326,3,1,2,2,4,1,0
327,3,1,2,2,4,2,0
328,3,1,2,3,1,1,1
329,3,1,2,3,1,2,1
330,3,1,2,3,2,1,1
331,3,1,2,3,2,2,1
332,3,1,2,3,3,1,1
333,3,1,2,3,3,2,1
334,3,1,2,3,4,1,0
335,3,1,2,3,4,2,0
336,3,2,1,1,1,1,1
337,3,2,1,1,1,2,1
338,3,2,1,1,2,1,1
339,3,2,1,1,2,2,1
340,3,2,1,1,3,1,1
341,3,2,1,1,3,2,1
342,3,2,1,1,4,1,0
343,3,2,1,1,4,2,0
344,3,2,1,2,1,1,1
345,3,2,1,2,1,2,1
346,3,2,1,2,2,1,1
347,3,2,1,2,2,2,1
348,3,2,1,2,3,1,1
349,3,2,1,2,3,2,1
350,3,2,1,2,4,1,0
351,3,2,1,2,4,2,0
352,3,2,1,3,1,1,1
353,3,2,1,3,1,2,1
354,3,2,1,3,2,1,1
355,3,2,1,3,2,2,1
356,3,2,1,3,3,1,1
357,3,2,1,3,3,2,1
358,3,2,1,3,4,1,0
359,3,2,1,3,4,2,0
360,3,2,2,1,1,1,1
361,3,2,2,1,1,2,1
362,3,2,2,1,2,1,1
363,3,2,2,1,2,2,1
364,3,2,2,1,3,1,1
365,3,2,2,1,3,2,1
366,3,2,2,1,4,1,0
367,3,2,2,1,4,2,0
368,3,2,2,2,1,1,1
369,3,2,2,2,1,2,1
370,3,2,2,2,2,1,1
371,3,2,2,2,2,2,1
372,3,2,2,2,3,1,1
373,3,2,2,2,3,2,1
374,3,2,2,2,4,1,0
375,3,2,2,2,4,2,0
376,3,2,2,3,1,1,1
377,3,2,2,3,1,2,1
378,3,2,2,3,2,1,1
379,3,2,2,3,2,2,1
380,3,2,2,3,3,1,1
381,3,2,2,3,3,2,1
382,3,2,2,3,4,1,0
383,3,2,2,3,4,2,0
384,3,3,1,1,1,1,0
385,3,3,1,1,1,2,0
386,3,3,1,1,2,1,0
387,3,3,1,1,2,2,0
388,3,3,1,1,3,1,1
389,3,3,1,1,3,2,1
390,3,3,1,1,4,1,0
391,3,3,1,1,4,2,0
392,3,3,1,2,1,1,0
393,3,3,1,2,1,2,0
394,3,3,1,2,2,1,0
395,3,3,1,2,2,2,0
396,3,3,1,2,3,1,0
397,3,3,1,2,3,2,0
398,3,3,1,2,4,1,0
399,3,3,1,2,4,2,0
400,3,3,1,3,1,1,0
401,3,3,1,3,1,2,0
402,3,3,1,3,2,1,0
403,3,3,1,3,2,2,0
404,3,3,1,3,3,1,0
405,3,3,1,3,3,2,0
406,3,3,1,3,4,1,0
407,3,3,1,3,4,2,0
408,3,3,2,1,1,1,0
409,3,3,2,1,1,2,0
410,3,3,2,1,2,1,0
411,3,3,2,1,2,2,0
412,3,3,2,1,3,1,1
413,3,3,2,1,3,2,1
414,3,3,2,1,4,1,0
415,3,3,2,1,4,2,0
416,3,3,2,2,1,1,0
417,3,3,2,2,1,2,0
418,3,3,2,2,2,1,0
419,3,3,2,2,2,2,0
420,3,3,2,2,3,1,0
421,3,3,2,2,3,2,0
422,3,3,2,2,4,1,0
423,3,3,2,2,4,2,0
424,3,3,2,3,1,1,0
425,3,3,2,3,1,2,0
426,3,3,2,3,2,1,0
427,3,3,2,3,2,2,0
428,3,3,2,3,3,1,0
429,3,3,2,3,3,2,0
430,3,3,2,3,4,1,0
431,3,3,2,3,4,2,0
